identifier,smiles
CNP0465836.2,C=CCC/C=C/C=C/C=C/CC/C=C/[C@@H](O)[C@H](O)[C@@H]1O[C@@H]([C@H](O)[C@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)[C@@H](C)C[C@H](O)[C@@H](O)C[C@H](C)CC/C=C/C[C@H](CO)OS(=O)(=O)O)O2)C[C@@H](O)[C@H]1O
CNP0481438.1,COC1=CC([C@@H]2[C@H](CC3=CC=CC=C3)C#C[C@@H]3CN[C@@H]4C[C@@H]5C6=C7C=C8CC9=CC%10=C(C=C[C@@H]%11C[C@H]2C(=O)[C@@H]([C@H](O)[C@H]3C42C3=CC(O)=C(O)C=C3[C@@H]3C[C@@H]2[C@]52C[C@@]34CCC[C@@H]4C=C2[C@H]7C[C@@H]8O)[C@H]%10%11)C(=C9)C[C@@H](C(C)=O)CC#C6)=C(CO)C=C1O
CNP0485458.0,CC1=C2CC(CC1C1(C3C(C)=C4CC(C3O)C4(C)C)CC3CC(=C1C)C3(C)C)C2(C)C
CNP0487678.1,CC1=C2N3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)N2C=[N+](C5=CC(C)=C(C)C=C52)[Co-3]325(C[C@H]3O[C@@H](N6C=NC7=C(N)N=CN=C76)[C@H](O)[C@@H]3O)[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O
CNP0488172.1,CC(=O)O[C@@H]1[C@@](O)(CO)[C@@H]2CC[C@H]3[C@@]45CO[C@@](O)([C@@H](OC(C)=O)C4C(C)(C)CC[C@H]5O)[C@]13C2
CNP0491523.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OC)=C2)[C@]2(C3=CC=NC(N)=C3)[C@H](CC3=CC=CC=C3)C[C@@H](O)[C@@H]2CC2=NC=CC2)=CC=C1O
CNP0492752.1,OC1=CC(O)=C2C(=C1)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@H]2C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)C2
CNP0495208.1,C[C@H](O)CNNC1=CC(CCO[C@@H]2[C@H]3OC4=C(C=C5C(=O)C6=CC=C(CO)C=C6C(=O)C5=C4OC[C@H](O)CC=O)[C@H](C4=CC=CC=C4N4CN[C@@H]5C(=O)N[C@@H](N)N[C@H]54)[C@@H](CCCO)COC[C@H](O3)[C@H](O)[C@H]2O)=CC=N1
CNP0497545.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OCC(C)C)=C2)[C@@]2(C3=CC=NC(N)=C3)CC[C@H](O)[C@H]2CC2=NC=CC2)=CC=C1O
CNP0503993.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OC)=C2)[C@@]2(C3=CC=NC(N)=C3)[C@@H](CC3=CC=CN3)CC[C@H]2CC2=CC=CC=C2)=CC=C1O
CNP0505204.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OC)=C2)[C@@]2(C3=CC=NC(N)=C3)[C@@H](CC3=NC=CC3)CC[C@H]2CC2=CC=CC=C2)=CC=C1O
CNP0506664.1,CCCCCCOC(=O)[C@@]1(O)C[C@@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C31
CNP0506664.2,CCCCCCOC(=O)[C@@]1(O)C[C@H]2O[C@@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C31
CNP0507028.1,COC1=CC(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@]3(COC(=O)/C=C/C4=CC=C(O)C=C4OC)O[C@H](CO)[C@@H](O)[C@@H]3OC(=O)C3=CC=CC=C3)O[C@@H]2COC(C)=O)=CC=C1O
CNP0509713.1,COC1=CC(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@]3(COC(=O)/C=C/C4=CC=C(O)C=C4OC)O[C@H](CO)[C@@H](O)[C@@H]3OC(=O)C3=CC=CC=C3)O[C@@H]2CO)=CC=C1O
CNP0085824.1,O=C(O[C@@H]1[C@@H](C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)C3)C2=C(O)C=C(O)C([C@H]3C4=C(O)C=C(O)C([C@H]5C6=C(O)C=C(O)C([C@H]7C8=C(O)C=C(O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)C=C8O[C@H](C8=CC(O)=C(O)C(O)=C8)[C@@H]7OC(=O)C7=CC(O)=C(O)C(O)=C7)=C6O[C@H](C6=CC(O)=C(O)C(O)=C6)[C@H]5O)=C4O[C@H](C4=CC(O)=C(O)C(O)=C4)[C@H]3O)=C2O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1
CNP0133569.2,COC1=CC(/C=C\C(=O)O[C@H]2[C@H](O)[C@@H](COC(=O)/C=C/C3=CC=C(O)C(OC)=C3)O[C@@]2(COC(=O)/C=C/C2=CC=C(O)C=C2)O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](O)[C@H]2OC(C)=O)=CC=C1O
CNP0171627.1,CC1=CCC[C@@H]2[C@]3(CCC4=COC=C4)C(=O)O[C@@H](C[C@]12C)[C@@H]3C
CNP0233011.2,OC[C@H]1O[C@@H](O[C@@H]2[C@H]3C4=C(O)C=C(O)C=C4O[C@@]2(C2=CC=C(O)C(O)=C2)OC2=CC(O)=C4C(=C23)O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)C4C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)C3)[C@H](O)[C@@H](O)[C@H]1O
CNP0243746.39,CC[C@H]1[C@@H]2C[C@@H]3[C@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@@H]2[C@@H]5O)N3[C@@H]1O
CNP0257732.4,COC1=CC(N[C@H](C)CCCN2C(=O)[C@H](C(N)=O)[C@H]3C[C@@]2(C)OC2=CC=CC=C23)=C2N=CC=CC2=C1
CNP0275239.1,C/C(=C\[C@@H](O)C[C@]12C(=O)O[C@]3(C)CC[C@H]1C[C@@H]23)C(N)=O
CNP0299169.3,COC1=CC(/C=C\C(=O)O[C@H]2[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O)[C@@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H]2CO)=CC=C1O
CNP0335311.2,C=C/C=C/CC/C=C/C=C/C=C/CC/C=C/[C@H](O)[C@H](O)[C@@H]1O[C@@H](C(O)[C@H](O)C(=C)CC[C@@H](O)[C@@H]2C[C@H](O)[C@H](O)[C@@H]([C@H](O)[C@@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)[C@@H](C)C[C@H](O)[C@@H](O)CCCCC[C@@H](O)CCC[C@@H](O)/C=C/C[C@@H](O)/C=C/C[C@@H](O)CO)O2)C[C@@H](O)[C@H]1O
CNP0365299.2,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@H](CO)[C@H]2OC(=O)/C=C/C2=CC=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O
CNP0438991.1,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](O[C@@H]2[C@@H](OC(C)=O)[C@H](O[C@@H]3[C@@H](OC(C)=O)[C@H](O[C@@H]4[C@@H](OC(C)=O)[C@H](O[C@@H]5[C@@H](OC(C)=O)[C@H](O[C@@H]6CO[C@@H](OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@H](OC(C)=O)[C@H]6OC(C)=O)OC[C@H]5OC(C)=O)OC[C@H]4OC(C)=O)OC[C@H]3OC(C)=O)OC[C@H]2OC(C)=O)OC[C@H]1OC(C)=O
CNP0511129.2,C=CC[N@+]12[C@H](O)[C@@H](CC)[C@@H]3C[C@H]1[C@@H]1N(C)C4=CC=CC=C4[C@]14C[C@H]2[C@@H]3[C@H]4O
CNP0133569.3,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](O)[C@@H]3OC(C)=O)[C@@H](OC(=O)/C=C/C3=CC=C(O)C(OC)=C3)[C@@H]2O)=CC=C1O
CNP0133569.4,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@](COC(=O)/C=C/C3=CC=C(O)C=C3)(O[C@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](O)[C@H]3OC(C)=O)[C@@H](OC(=O)/C=C/C3=CC=C(O)C(OC)=C3)[C@@H]2O)=CC=C1O
CNP0137692.3,CN1C(=O)[C@]23SS[C@@]1(C)C(=O)N2[C@H]1NC2=CC=CC=C2[C@@]1([C@@]12C4=CC=CC=C4N[C@@H]1N1C(=O)[C@]4(C)SS[C@@]1(C(=O)N4C)[C@H]2O)[C@@H]3O
CNP0137692.7,CN1C(=O)[C@]23SS[C@@]1(C)C(=O)N2[C@H]1NC2=CC=CC=C2[C@@]1([C@@]12C4=CC=CC=C4N[C@@H]1N1C(=O)[C@@]4(C)SS[C@]1(C(=O)N4C)[C@H]2O)[C@@H]3O
CNP0138542.1,O=C(O)CC(=O)OC[C@H]1O[C@@H](OC2=C(C3=CC=C(O)C(O[C@@H]4O[C@H](COC(=O)/C=C/C5=CC=C(O[C@@H]6O[C@H](COC(=O)/C=C/C7=CC=C(O)C(O)=C7)[C@@H](O)[C@H](O)[C@H]6O)C(O)=C5)[C@@H](O)[C@H](O)[C@H]4O)=C3)OC3=CC(O[C@@H]4O[C@H](COC(=O)/C=C/C5=CC=C(O)C=C5)[C@@H](O)[C@H](O)[C@H]4O)=CC(O)=C3C2)[C@H](O)[C@@H](O)[C@@H]1O
CNP0139239.1,CC(C)C[C@H]1C=C2C[C@@H]3C[C@H]4C=C[C@@]56C(=O)OC[C@]78[C@H](C(=O)[C@@H](O)[C@]9(C)[C@@H]7[C@H](C[C@@]35C4)C[C@@]3(C)[C@H](C4=C(C[C@@H]([C@H]5CC[C@H]7[C@H](C=CN%10CNC[C@@H]7%10)C5)[C@H](O)CO)OC=C4)OC(=O)[C@H]4O[C@@]493)[C@@]1(C)O[C@]286
CNP0140268.2,CC(C)[C@]12SSSS[C@]3(C(=O)N1C)[C@@H](O)[C@]1([C@]45C6=CC=CC=C6N[C@H]4N4C(=O)[C@]6(CO)SS[C@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0140536.1,CC[C@@H]1[C@@H](O)N2[C@H]3C[C@@]45C6=CC=CC=C6N(C)[C@H]4[C@@H]2C[C@H]1C3[C@H]5OC(=O)CCl
CNP0141233.3,CC(O)[C@@]12SS[C@]3(C(=O)N1C)[C@@H](O)[C@]1([C@@]45C6=CC=CC=C6N[C@@H]4N4C(=O)[C@]6(C(C)O)SS[C@@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0141233.4,CC(O)C12SSC3(C(=O)N1C)[C@@H](O)[C@]1(C45C6=CC=CC=C6N[C@@H]4N4C(=O)[C@@]6(C(C)O)SS[C@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0145010.0,COC1=CC(C=CC(=O)OC2C(COC3OCC(O)C(O)C3O)OC(OCCC3=CC=C(O)C(O)=C3)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)=CC=C1O
CNP0147379.8,C=C1C(=O)O[C@@H]2C3[C@]4(C)C=C[C@@]3(C[C@]43C(=O)O[C@@H]4[C@H]5C(C)=CC[C@H]5[C@](C)(O)C[C@H](OC(C)=O)[C@H]43)[C@](C)(O)CC[C@@H]12
CNP0147765.2,COC1=CC(/C=C/C(=O)OC[C@@H]2O[C@H](O[C@@]3(CO)O[C@H](COC(=O)/C=C/C4=CC=C(O)C=C4)[C@@H](O)[C@@H]3OC(=O)/C=C/C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]2O)=CC=C1O
CNP0155813.3,CO[C@]12CC34CCCN3C[C@@H](O1)C1=CC3=C(C=C1[C@@H]4[C@H]2O)OCO3
CNP0156208.1,O=C(OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=C2)O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@@H](O)C3)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0159941.1,O=C(OC[C@H]1O[C@@H](OC2=CC(O)=C3C(=C2)O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC=C(O)C(O)=C2)[C@H](O)[C@H]3C2=C(O)C=C(O)C3=C2O[C@H](C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)C3)[C@H](O)[C@@H](O)[C@@H]1O)C1=CC(O)=C(O)C(O)=C1
CNP0159966.2,CC(O)[C@@]12SS[C@]3(C(=O)N1C)[C@@H](O)[C@]1([C@@]45C6=CC=CC=C6N[C@@H]4N4C(=O)[C@]6(C)SS[C@@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0159966.4,CC(O)[C@@]12SS[C@]3(C(=O)N1C)[C@@H](O)[C@]1([C@@]45C6=CC=CC=C6N[C@@H]4N4C(=O)[C@@]6(C)SS[C@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0164495.6,C=C1C(=O)[C@]23C[C@@H]1C[C@@H](O)[C@H]2[C@@]12CO[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2OC3=O
CNP0165094.10,OC1=CC(O)=C2C(=C1)O[C@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C[C@H](O)[C@@H](C5=CC=C(O)C(O)=C5)OC4=C3[C@@H]2[C@H]1O
CNP0166196.1,O=C(O)CC(=O)OC[C@H]1O[C@@H](OC2=C(C3=CC=C(O)C(O[C@@H]4O[C@H](COC(=O)/C=C/C5=CC=C(O[C@@H]6O[C@H](COC(=O)/C=C/C7=CC=C(O)C(O)=C7)[C@@H](O)[C@H](O)[C@H]6O)C(O)=C5)[C@@H](O)[C@H](O)[C@H]4O)=C3)OC3=CC(O[C@@H]4O[C@H](COC(=O)/C=C/C5=CC=C(O)C(O)=C5)[C@@H](O)[C@H](O)[C@H]4O)=CC(O)=C3C2)[C@H](O)[C@@H](O)[C@@H]1O
CNP0167418.1,COC1=CC(/C=C/C(=O)OC[C@H]2O[C@@H](OC3=C(OC)C=C(CO)C=C3OC)[C@H](O)[C@@H](O)[C@@H]2OC(=O)/C=C/C2=CC=C(O)C(OC)=C2)=CC=C1O
CNP0171282.5,C/C=C1\CN2CC[C@@]34C5=CC(OC)=CC=C5N(C)[C@@]23CC[C@H]1[C@H]4C(=O)OC
CNP0171282.6,C/C=C1\C[N@]2CC[C@@]34C5=CC(OC)=CC=C5N(C)[C@@]23CC[C@H]1[C@H]4C(=O)OC
CNP0265183.11,COC1=CC(/C=C/C(=O)O[C@@H]2C[C@H]3CC[C@@]2(C)C3(C)C)=CC=C1O
CNP0265183.8,COC1=CC(/C=C/C(=O)O[C@H]2C[C@H]3CC[C@@]2(C)C3(C)C)=CC=C1O
CNP0265183.9,COC1=CC(/C=C/C(=O)O[C@@H]2C[C@@H]3CC[C@]2(C)C3(C)C)=CC=C1O
CNP0265639.1,COC1=CC(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3OC[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H]2CO)=CC=C1O
CNP0265639.3,COC1=CC(/C=C/C(=O)O[C@@H]2[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O[C@H]3OC[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](OCCC3=CC=C(O)C(O)=C3)O[C@H]2CO)=CC=C1O
CNP0265639.6,COC1=CC(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H]2CO)=CC=C1O
CNP0265639.8,COC1=CC(/C=C\C(=O)O[C@@H]2[C@H](O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]3O[C@H]3OC[C@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H](OCCC3=CC=C(O)C(O)=C3)O[C@H]2CO)=CC=C1O
CNP0266308.0,CC1OC(OC2C(O)C(OCC=CC3=CC=C(O)C=C3)OC(CO)C2OC(=O)C=CC2=CC=C(O)C(O)=C2)C(O)C(O)C1OC1OCC(O)C(O)C1O
CNP0268578.2,CC[C@@H](C)C(=O)O[C@@H]1OC=C2[C@@H]3C[C@H]4C[C@]25[C@@H]1CC[C@@H]5[C@]4(C)C(=O)O3
CNP0270460.2,CC(C)C12SSS[C@]3(C(=O)N1C)[C@@H](O)C1([C@]45C6=CC=CC=C6N[C@H]4N4C(=O)[C@]6(C(C)C)SS[C@@]4(C(=O)N6C)[C@H]5O)C4=CC=CC=C4N[C@@H]1N3C2=O
CNP0272700.3,COC[C@@H]1C(=O)[C@]23C[C@@H]1C[C@@H](O)[C@H]2C12CO[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2OC3=O
CNP0272700.4,COC[C@H]1C(=O)[C@]23C[C@@H]1C[C@@H](O)[C@H]2C12CO[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2OC3=O
CNP0272746.14,OC1=CC(O)=C2C(=C1)O[C@@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C(=C3[C@H]2[C@H]1O)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@@H]4C1=C(O)C=C(O)C2=C1O[C@@H](C1=CC=C(O)C(O)=C1)[C@@H](O)C2
CNP0272746.15,OC1=CC(O)=C2C(=C1)O[C@@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C(=C3[C@H]2[C@H]1O)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@@H]4C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@@H](O)C2
CNP0272746.16,OC1=CC(O)=C2C(=C1)O[C@@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C(=C3[C@H]2[C@H]1O)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@@H]4C1=C(O)C=C(O)C2=C1O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)C2
CNP0272746.17,OC1=CC(O)=C2C(=C1)O[C@@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C(=C3[C@H]2[C@H]1O)O[C@H](C1=CC=C(O)C(O)=C1)[C@H](O)[C@@H]4C1=C(O)C=C(O)C2=C1O[C@@H](C1=CC=C(O)C(O)=C1)[C@H](O)C2
CNP0272746.2,OC1=CC(O)=C2C(=C1)O[C@@]1(C3=CC=C(O)C(O)=C3)OC3=CC(O)=C4C(=C3[C@H]2[C@H]1O)OC(C1=CC=C(O)C(O)=C1)C(O)C4C1=C(O)C=C(O)C2=C1OC(C1=CC=C(O)C(O)=C1)C(O)C2
CNP0273268.1,CC(=O)OC1=CC(OC(C)=O)=C2C(=C1)O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(=O)C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H]2C1=C(OC(C)=O)C=C(OC(C)=O)C2=C1O[C@H](C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)[C@H](OC(=O)C1=CC(OC(C)=O)=C(OC(C)=O)C(OC(C)=O)=C1)C2
CNP0365299.3,C[C@H]1O[C@@H](O[C@H]2[C@@H](OC(=O)/C=C/C3=CC=C(O)C(O)=C3)[C@H](CO)O[C@@H](OCCC3=CC=C(O)C(O)=C3)[C@@H]2O[C@@H]2OC[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
CNP0365299.4,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@H](CO)[C@H]2OC(=O)/C=C/C2=CC=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O
CNP0365299.5,C[C@@H]1O[C@H](O[C@H]2[C@H](O[C@H]3OC[C@H](O)[C@@H](O)[C@@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@H](CO)[C@H]2OC(=O)/C=C/C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O
CNP0365299.6,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@H](OCCC3=CC=C(O)C(O)=C3)O[C@H](CO)[C@H]2OC(=O)/C=C/C2=CC=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O
CNP0365299.7,C[C@H]1O[C@@H](O[C@H]2[C@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](OCCC3=CC=C(O)C(O)=C3)O[C@@H](CO)[C@@H]2OC(=O)/C=C/C2=CC=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@@H]1O
CNP0373965.1,C[C@]1(C=O)C2CC[C@]3(C)O[C@@]14C(=O)C1=CC=C(O)C=C1C(=O)C4=CC23
